LockType,Workload,NumThreads,NumLockAcquires,NumReleaseIterations,CriticalSectionSize,TotalMilliseconds
FillQuiesceLock,ArrayFill,1,1000000,0,256,1321.9434
FillQuiesceLock,ArrayFill,1,1000000,1,256,1320.162
FillQuiesceLock,ArrayFill,1,1000000,2,256,1323.2102
FillQuiesceLock,ArrayFill,1,1000000,3,256,1321.8278
FillQuiesceLock,ArrayFill,1,1000000,4,256,1322.0865
FillQuiesceLock,ArrayFill,1,1000000,5,256,1322.5905
FillQuiesceLock,ArrayFill,1,1000000,6,256,1323.2796
FillQuiesceLock,ArrayFill,1,1000000,7,256,1322.5952
FillQuiesceLock,ArrayFill,1,1000000,8,256,1322.942
FillQuiesceLock,ArrayFill,1,1000000,9,256,1326.5158
FillQuiesceLock,ArrayFill,1,1000000,10,256,1329.3384
FillQuiesceLock,ArrayFill,2,1000000,0,256,793.8812
FillQuiesceLock,ArrayFill,2,1000000,1,256,801.0079
FillQuiesceLock,ArrayFill,2,1000000,2,256,1251.3525
FillQuiesceLock,ArrayFill,2,1000000,3,256,822.1505
FillQuiesceLock,ArrayFill,2,1000000,4,256,811.5472
FillQuiesceLock,ArrayFill,2,1000000,5,256,789.4347
FillQuiesceLock,ArrayFill,2,1000000,6,256,829.0847
FillQuiesceLock,ArrayFill,2,1000000,7,256,939.0983
FillQuiesceLock,ArrayFill,2,1000000,8,256,819.499
FillQuiesceLock,ArrayFill,2,1000000,9,256,874.1952
FillQuiesceLock,ArrayFill,2,1000000,10,256,794.7288
FillQuiesceLock,ArrayFill,3,1000000,0,256,914.5712
FillQuiesceLock,ArrayFill,3,1000000,1,256,836.3941
FillQuiesceLock,ArrayFill,3,1000000,2,256,668.5511
FillQuiesceLock,ArrayFill,3,1000000,3,256,652.3745
FillQuiesceLock,ArrayFill,3,1000000,4,256,675.3458
FillQuiesceLock,ArrayFill,3,1000000,5,256,672.5067
FillQuiesceLock,ArrayFill,3,1000000,6,256,641.8739
FillQuiesceLock,ArrayFill,3,1000000,7,256,672.2775
FillQuiesceLock,ArrayFill,3,1000000,8,256,686.9151
FillQuiesceLock,ArrayFill,3,1000000,9,256,645.2898
FillQuiesceLock,ArrayFill,3,1000000,10,256,666.7158
FillQuiesceLock,ArrayFill,4,1000000,0,256,585.5707
FillQuiesceLock,ArrayFill,4,1000000,1,256,551.1048
FillQuiesceLock,ArrayFill,4,1000000,2,256,589.2921
FillQuiesceLock,ArrayFill,4,1000000,3,256,567.4955
FillQuiesceLock,ArrayFill,4,1000000,4,256,585.6061
FillQuiesceLock,ArrayFill,4,1000000,5,256,587.9481
FillQuiesceLock,ArrayFill,4,1000000,6,256,552.7898
FillQuiesceLock,ArrayFill,4,1000000,7,256,590.517
FillQuiesceLock,ArrayFill,4,1000000,8,256,569.635
FillQuiesceLock,ArrayFill,4,1000000,9,256,562.5925
FillQuiesceLock,ArrayFill,4,1000000,10,256,597.4709
FillQuiesceLock,ArrayFill,5,1000000,0,256,557.779
FillQuiesceLock,ArrayFill,5,1000000,1,256,644.0715
FillQuiesceLock,ArrayFill,5,1000000,2,256,557.2489
FillQuiesceLock,ArrayFill,5,1000000,3,256,588.6569
FillQuiesceLock,ArrayFill,5,1000000,4,256,550.3025
FillQuiesceLock,ArrayFill,5,1000000,5,256,903.2339
FillQuiesceLock,ArrayFill,5,1000000,6,256,770.6958
FillQuiesceLock,ArrayFill,5,1000000,7,256,632.5436
FillQuiesceLock,ArrayFill,5,1000000,8,256,562.3243
FillQuiesceLock,ArrayFill,5,1000000,9,256,785.714
FillQuiesceLock,ArrayFill,5,1000000,10,256,576.2259
FillQuiesceLock,ArrayFill,6,1000000,0,256,566.3301
FillQuiesceLock,ArrayFill,6,1000000,1,256,672.4978
FillQuiesceLock,ArrayFill,6,1000000,2,256,557.3106
FillQuiesceLock,ArrayFill,6,1000000,3,256,764.6489
FillQuiesceLock,ArrayFill,6,1000000,4,256,573.6784
FillQuiesceLock,ArrayFill,6,1000000,5,256,566.19
FillQuiesceLock,ArrayFill,6,1000000,6,256,739.591
FillQuiesceLock,ArrayFill,6,1000000,7,256,599.9556
FillQuiesceLock,ArrayFill,6,1000000,8,256,594.9658
FillQuiesceLock,ArrayFill,6,1000000,9,256,833.4443
FillQuiesceLock,ArrayFill,6,1000000,10,256,619.152
FillQuiesceLock,ArrayFill,7,1000000,0,256,574.4276
FillQuiesceLock,ArrayFill,7,1000000,1,256,797.1259
FillQuiesceLock,ArrayFill,7,1000000,2,256,637.2441
FillQuiesceLock,ArrayFill,7,1000000,3,256,574.386
FillQuiesceLock,ArrayFill,7,1000000,4,256,803.6772
