LockType,NumThreads,NumLockAcquires,NumReleaseIterations,CriticalSectionSize,TotalMilliseconds
NaiveAggressiveSpinLock,1,1000000,0,16,124.2648
NaiveAggressiveSpinLock,1,1000000,1,16,124.1624
NaiveAggressiveSpinLock,1,1000000,2,16,124.3375
NaiveAggressiveSpinLock,1,1000000,3,16,124.4881
NaiveAggressiveSpinLock,1,1000000,4,16,124.2807
NaiveAggressiveSpinLock,1,1000000,5,16,124.5641
NaiveAggressiveSpinLock,1,1000000,6,16,124.7662
NaiveAggressiveSpinLock,1,1000000,7,16,124.2767
NaiveAggressiveSpinLock,1,1000000,8,16,126.6795
NaiveAggressiveSpinLock,1,1000000,9,16,124.2542
NaiveAggressiveSpinLock,1,1000000,10,16,125.528
NaiveAggressiveSpinLock,1,1000000,0,32,199.8993
NaiveAggressiveSpinLock,1,1000000,1,32,200.7753
NaiveAggressiveSpinLock,1,1000000,2,32,200.8553
NaiveAggressiveSpinLock,1,1000000,3,32,199.9261
NaiveAggressiveSpinLock,1,1000000,4,32,200.232
NaiveAggressiveSpinLock,1,1000000,5,32,202.604
NaiveAggressiveSpinLock,1,1000000,6,32,199.9898
NaiveAggressiveSpinLock,1,1000000,7,32,199.7609
NaiveAggressiveSpinLock,1,1000000,8,32,200.1253
NaiveAggressiveSpinLock,1,1000000,9,32,199.9221
NaiveAggressiveSpinLock,1,1000000,10,32,200.0747
NaiveAggressiveSpinLock,1,1000000,0,64,382.9586
NaiveAggressiveSpinLock,1,1000000,1,64,382.5893
NaiveAggressiveSpinLock,1,1000000,2,64,382.5424
NaiveAggressiveSpinLock,1,1000000,3,64,382.439
NaiveAggressiveSpinLock,1,1000000,4,64,382.4713
NaiveAggressiveSpinLock,1,1000000,5,64,382.733
NaiveAggressiveSpinLock,1,1000000,6,64,382.8753
NaiveAggressiveSpinLock,1,1000000,7,64,382.183
NaiveAggressiveSpinLock,1,1000000,8,64,382.2877
NaiveAggressiveSpinLock,1,1000000,9,64,382.5457
NaiveAggressiveSpinLock,1,1000000,10,64,382.2659
NaiveAggressiveSpinLock,1,1000000,0,128,692.8889
NaiveAggressiveSpinLock,1,1000000,1,128,692.9612
NaiveAggressiveSpinLock,1,1000000,2,128,692.5682
NaiveAggressiveSpinLock,1,1000000,3,128,695.5672
NaiveAggressiveSpinLock,1,1000000,4,128,696.0722
NaiveAggressiveSpinLock,1,1000000,5,128,693.0544
NaiveAggressiveSpinLock,1,1000000,6,128,692.7237
NaiveAggressiveSpinLock,1,1000000,7,128,694.3767
NaiveAggressiveSpinLock,1,1000000,8,128,695.8753
NaiveAggressiveSpinLock,1,1000000,9,128,694.2118
NaiveAggressiveSpinLock,1,1000000,10,128,693.1964
NaiveAggressiveSpinLock,1,1000000,0,256,1315.8877
NaiveAggressiveSpinLock,1,1000000,1,256,1316.0911
NaiveAggressiveSpinLock,1,1000000,2,256,1314.5611
NaiveAggressiveSpinLock,1,1000000,3,256,1314.6853
NaiveAggressiveSpinLock,1,1000000,4,256,1314.0464
NaiveAggressiveSpinLock,1,1000000,5,256,1315.2931
NaiveAggressiveSpinLock,1,1000000,6,256,1316.0905
NaiveAggressiveSpinLock,1,1000000,7,256,1315.6455
NaiveAggressiveSpinLock,1,1000000,8,256,1315.8279
NaiveAggressiveSpinLock,1,1000000,9,256,1315.087
NaiveAggressiveSpinLock,1,1000000,10,256,1315.3935
NaiveAggressiveSpinLock,1,1000000,0,512,2554.0337
NaiveAggressiveSpinLock,1,1000000,1,512,2554.2514
NaiveAggressiveSpinLock,1,1000000,2,512,2560.2385
NaiveAggressiveSpinLock,1,1000000,3,512,2562.1382
NaiveAggressiveSpinLock,1,1000000,4,512,2556.6862
NaiveAggressiveSpinLock,1,1000000,5,512,2559.4867
NaiveAggressiveSpinLock,1,1000000,6,512,2559.6948
NaiveAggressiveSpinLock,1,1000000,7,512,2560.7607
NaiveAggressiveSpinLock,1,1000000,8,512,2560.3696
NaiveAggressiveSpinLock,1,1000000,9,512,2561.8369
NaiveAggressiveSpinLock,1,1000000,10,512,2559.6254
NaiveAggressiveSpinLock,1,1000000,0,1024,5056.8372
NaiveAggressiveSpinLock,1,1000000,1,1024,5055.5363
NaiveAggressiveSpinLock,1,1000000,2,1024,5056.597
NaiveAggressiveSpinLock,1,1000000,3,1024,5055.6173
NaiveAggressiveSpinLock,1,1000000,4,1024,5061.8637
NaiveAggressiveSpinLock,1,1000000,5,1024,5055.2057
NaiveAggressiveSpinLock,1,1000000,6,1024,5052.8753
NaiveAggressiveSpinLock,1,1000000,7,1024,5055.6764
NaiveAggressiveSpinLock,1,1000000,8,1024,5059.6631
NaiveAggressiveSpinLock,1,1000000,9,1024,5059.996
NaiveAggressiveSpinLock,1,1000000,10,1024,5055.1585
NaiveAggressiveSpinLock,1,1000000,0,2048,10044.7176
NaiveAggressiveSpinLock,1,1000000,1,2048,10034.9203
NaiveAggressiveSpinLock,1,1000000,2,2048,10035.5297
NaiveAggressiveSpinLock,1,1000000,3,2048,10032.388
NaiveAggressiveSpinLock,1,1000000,4,2048,10034.6405
NaiveAggressiveSpinLock,1,1000000,5,2048,10044.9551
NaiveAggressiveSpinLock,1,1000000,6,2048,10032.1912
NaiveAggressiveSpinLock,1,1000000,7,2048,10043.4165
NaiveAggressiveSpinLock,1,1000000,8,2048,10039.2934
NaiveAggressiveSpinLock,1,1000000,9,2048,10041.2397
NaiveAggressiveSpinLock,1,1000000,10,2048,10032.681
NaiveAggressiveSpinLock,1,1000000,0,4096,20025.5547
NaiveAggressiveSpinLock,1,1000000,1,4096,20008.1632
NaiveAggressiveSpinLock,1,1000000,2,4096,20017.6719
NaiveAggressiveSpinLock,1,1000000,3,4096,20003.2424
NaiveAggressiveSpinLock,1,1000000,4,4096,20019.413
NaiveAggressiveSpinLock,1,1000000,5,4096,20019.6657
NaiveAggressiveSpinLock,1,1000000,6,4096,20026.8162
NaiveAggressiveSpinLock,1,1000000,7,4096,20025.3452
NaiveAggressiveSpinLock,1,1000000,8,4096,20039.0434
NaiveAggressiveSpinLock,1,1000000,9,4096,20036.9009
NaiveAggressiveSpinLock,1,1000000,10,4096,20005.3129
NaiveAggressiveSpinLock,2,1000000,0,16,157.2105
NaiveAggressiveSpinLock,2,1000000,1,16,162.9743
NaiveAggressiveSpinLock,2,1000000,2,16,132.5387
