LockType,Workload,NumThreads,NumLockAcquires,NumReleaseIterations,CriticalSectionSize,TotalMilliseconds
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,16,120.4013
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,16,119.4169
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,16,119.5183
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,16,123.2206
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,16,119.4714
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,16,119.4661
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,16,119.5619
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,16,119.4139
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,16,119.5685
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,16,119.4387
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,16,119.6666
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,32,219.1427
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,32,219.4145
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,32,219.1242
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,32,218.9772
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,32,219.1552
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,32,219.2127
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,32,219.072
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,32,219.0892
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,32,219.5047
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,32,219.0016
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,32,219.4829
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,64,398.5915
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,64,398.7448
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,64,398.977
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,64,398.8677
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,64,396.0883
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,64,393.0461
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,64,398.3666
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,64,398.8274
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,64,386.8832
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,64,401.1746
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,64,398.2929
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,128,703.9627
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,128,701.9646
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,128,704.6742
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,128,704.3664
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,128,703.8897
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,128,704.0413
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,128,703.8187
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,128,700.9353
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,128,701.2214
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,128,702.1539
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,128,703.4375
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,256,1322.8303
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,256,1322.0997
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,256,1319.4878
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,256,1322.0637
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,256,1321.9913
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,256,1322.7094
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,256,1325.6298
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,256,1322.5816
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,256,1323.3113
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,256,1320.7024
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,256,1322.7491
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,512,2570.3881
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,512,2569.3965
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,512,2573.7656
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,512,2574.6476
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,512,2568.2483
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,512,2569.6667
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,512,2572.1408
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,512,2573.4102
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,512,2569.5983
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,512,2570.7561
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,512,2571.2086
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,1024,5046.2412
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,1024,5041.2368
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,1024,5043.66
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,1024,5043.5623
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,1024,5045.8973
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,1024,5042.5934
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,1024,5042.3496
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,1024,5036.1429
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,1024,5050.2295
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,1024,5047.1311
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,1024,5040.6567
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,2048,10014.0985
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,2048,9999.4437
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,2048,10004.1336
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,2048,9999.8391
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,2048,10000.1499
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,2048,10007.1789
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,2048,9998.1181
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,2048,10011.0909
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,2048,10007.6829
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,2048,10010.2489
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,2048,10000.069
NaiveAggressiveSpinLock,ArrayFill,1,1000000,0,4096,19908.9253
NaiveAggressiveSpinLock,ArrayFill,1,1000000,1,4096,19898.7266
NaiveAggressiveSpinLock,ArrayFill,1,1000000,2,4096,19905.0199
NaiveAggressiveSpinLock,ArrayFill,1,1000000,3,4096,19892.4353
NaiveAggressiveSpinLock,ArrayFill,1,1000000,4,4096,19908.2511
NaiveAggressiveSpinLock,ArrayFill,1,1000000,5,4096,19914.5973
NaiveAggressiveSpinLock,ArrayFill,1,1000000,6,4096,19915.4611
NaiveAggressiveSpinLock,ArrayFill,1,1000000,7,4096,19910.0762
NaiveAggressiveSpinLock,ArrayFill,1,1000000,8,4096,19938.1077
NaiveAggressiveSpinLock,ArrayFill,1,1000000,9,4096,19934.7037
NaiveAggressiveSpinLock,ArrayFill,1,1000000,10,4096,19893.5762
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,16,176.0977
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,16,173.8194
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,16,190.6457
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,16,182.4669
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,16,175.4895
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,16,176.1119
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,16,173.8848
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,16,190.6755
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,16,182.897
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,16,183.0368
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,16,178.0347
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,32,174.9805
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,32,190.6497
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,32,185.5878
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,32,174.7034
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,32,171.4553
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,32,174.2759
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,32,190.0363
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,32,182.356
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,32,173.2384
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,32,171.9818
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,32,174.4543
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,64,267.7451
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,64,268.1999
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,64,268.8777
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,64,262.6095
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,64,258.9809
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,64,267.7936
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,64,266.9477
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,64,264.8587
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,64,263.037
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,64,261.6222
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,64,268.4368
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,128,433.6437
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,128,480.6529
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,128,424.7042
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,128,424.2355
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,128,432.6247
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,128,432.0357
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,128,426.4903
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,128,424.9962
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,128,426.9874
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,128,432.2782
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,128,433.2341
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,256,720.2773
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,256,768.8843
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,256,717.8369
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,256,726.7797
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,256,724.0533
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,256,720.8343
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,256,724.6729
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,256,719.3683
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,256,727.1626
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,256,723.1647
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,256,720.8911
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,512,1355.6172
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,512,1350.3475
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,512,1351.834
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,512,1353.3878
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,512,1349.343
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,512,1356.9233
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,512,1369.0362
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,512,1353.3003
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,512,1353.6257
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,512,1346.6248
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,512,1356.9256
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,1024,2606.9908
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,1024,2610.9768
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,1024,2609.2179
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,1024,2614.8998
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,1024,2607.6142
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,1024,2605.9388
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,1024,2611.9235
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,1024,2610.7545
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,1024,2615.746
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,1024,2606.9327
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,1024,2609.0649
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,2048,5145.0701
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,2048,5146.6735
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,2048,5131.5196
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,2048,5148.04
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,2048,5170.9568
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,2048,5216.7336
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,2048,5131.1642
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,2048,5168.9531
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,2048,5137.113
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,2048,5134.3729
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,2048,5153.9637
NaiveAggressiveSpinLock,ArrayFill,2,1000000,0,4096,10258.2882
NaiveAggressiveSpinLock,ArrayFill,2,1000000,1,4096,10330.5748
NaiveAggressiveSpinLock,ArrayFill,2,1000000,2,4096,10320.0067
NaiveAggressiveSpinLock,ArrayFill,2,1000000,3,4096,10268.2283
NaiveAggressiveSpinLock,ArrayFill,2,1000000,4,4096,10380.3098
NaiveAggressiveSpinLock,ArrayFill,2,1000000,5,4096,10271.9032
NaiveAggressiveSpinLock,ArrayFill,2,1000000,6,4096,10333.1671
NaiveAggressiveSpinLock,ArrayFill,2,1000000,7,4096,10660.3911
NaiveAggressiveSpinLock,ArrayFill,2,1000000,8,4096,10672.986
NaiveAggressiveSpinLock,ArrayFill,2,1000000,9,4096,10255.1383
NaiveAggressiveSpinLock,ArrayFill,2,1000000,10,4096,10637.4783
NaiveAggressiveSpinLock,ArrayFill,3,1000000,0,16,410.3579
NaiveAggressiveSpinLock,ArrayFill,3,1000000,1,16,257.7914
NaiveAggressiveSpinLock,ArrayFill,3,1000000,2,16,261.1974
NaiveAggressiveSpinLock,ArrayFill,3,1000000,3,16,273.8068
NaiveAggressiveSpinLock,ArrayFill,3,1000000,4,16,264.7309
NaiveAggressiveSpinLock,ArrayFill,3,1000000,5,16,250.1825
NaiveAggressiveSpinLock,ArrayFill,3,1000000,6,16,282.7609
NaiveAggressiveSpinLock,ArrayFill,3,1000000,7,16,268.9613
NaiveAggressiveSpinLock,ArrayFill,3,1000000,8,16,244.6974
NaiveAggressiveSpinLock,ArrayFill,3,1000000,9,16,286.1414
NaiveAggressiveSpinLock,ArrayFill,3,1000000,10,16,269.8532
NaiveAggressiveSpinLock,ArrayFill,3,1000000,0,32,478.3476
NaiveAggressiveSpinLock,ArrayFill,3,1000000,1,32,270.9829
NaiveAggressiveSpinLock,ArrayFill,3,1000000,2,32,277.7961
NaiveAggressiveSpinLock,ArrayFill,3,1000000,3,32,259.8358
NaiveAggressiveSpinLock,ArrayFill,3,1000000,4,32,271.1206
NaiveAggressiveSpinLock,ArrayFill,3,1000000,5,32,280.6689
NaiveAggressiveSpinLock,ArrayFill,3,1000000,6,32,263.2338
NaiveAggressiveSpinLock,ArrayFill,3,1000000,7,32,253.8484
NaiveAggressiveSpinLock,ArrayFill,3,1000000,8,32,293.8442
NaiveAggressiveSpinLock,ArrayFill,3,1000000,9,32,264.9039
NaiveAggressiveSpinLock,ArrayFill,3,1000000,10,32,263.4518
NaiveAggressiveSpinLock,ArrayFill,3,1000000,0,64,295.6672
NaiveAggressiveSpinLock,ArrayFill,3,1000000,1,64,306.7182
NaiveAggressiveSpinLock,ArrayFill,3,1000000,2,64,288.7371
NaiveAggressiveSpinLock,ArrayFill,3,1000000,3,64,294.9911
NaiveAggressiveSpinLock,ArrayFill,3,1000000,4,64,305.0137
NaiveAggressiveSpinLock,ArrayFill,3,1000000,5,64,292.949
NaiveAggressiveSpinLock,ArrayFill,3,1000000,6,64,277.814
NaiveAggressiveSpinLock,ArrayFill,3,1000000,7,64,320.0873
NaiveAggressiveSpinLock,ArrayFill,3,1000000,8,64,295.662
